Item Number,Level 1,Level 2,Level 3,Level 4,Level 5,Description Line 1_x,Brand Name,Pack Size,Unit of Measure_x,Priced by Weight,Description Line 2,Description Line 3,Class Name,Special Order,Item Image,On Hand Quantity_x,Item Avg. Weight,Due Date,Unit of Measure_y,Description Line 1_y,On Hand Quantity_y,Quantity Ordered,Open Balance,Expected Date
77024,4.45,4.35,4.25,4.05,3.6,Walnut Halves & Pieces,Potenza,25lb,CASE,Y,,,NUTS,N,,15,25.0,07/25/23,CASE,Walnut Halves & Pieces,15,2.0,2.0,08/01/23
77024,4.45,4.35,4.25,4.05,3.6,Walnut Halves & Pieces,Potenza,25lb,CASE,Y,,,NUTS,N,,15,25.0,07/25/23,CASE,Walnut Halves & Pieces,15,5.0,5.0,08/08/23
77033,76.75,75.65,74.6,71.65,63.2,Almonds Marcona Sauteed Salted 2kg,La Gruta del So,4.4lb,BAG,N,,,NUTS,N,,12,0.0,/  /,BAG,Almonds Marcona Sauteed Salted 2kg,12,35.0,35.0,07/31/23
77034,4.7,4.6,4.55,4.35,3.85,Pepitas Raw,Potenza,55lbs,CASE,Y,,,NUTS,N,,5,55.0,07/25/23,CASE,Pepitas Raw,5,8.0,8.0,08/01/23
77035,6.65,6.15,6.0,5.75,5.1,Apricots Dried,Potenza,28lb,CASE,Y,,,FRUITS,N,,7,28.0,07/25/23,CASE,Apricots Dried,7,6.0,6.0,08/01/23
77035,6.65,6.15,6.0,5.75,5.1,Apricots Dried,Potenza,28lb,CASE,Y,,,FRUITS,N,,7,28.0,07/25/23,CASE,Apricots Dried,7,2.0,2.0,08/08/23
77036,3.55,3.5,3.45,3.35,2.95,Cranberries Dried,Potenza,25lb,CASE,Y,,,FRUITS,N,,9,25.0,07/25/23,CASE,Cranberries Dried,9,4.0,4.0,08/01/23
77040,2.0,1.95,0.0,1.8,1.6,Sunflower Kernels Raw,Potenza,55lb,CASE,Y,,,NUTS,N,,11,55.0,/  /,CASE,Sunflower Kernels Raw,11,2.0,2.0,08/08/23
77041,9.0,8.85,8.75,8.4,7.4,Peaches Dried,Potenza,25lb,CASE,Y,,,FRUITS,N,,0,25.0,07/26/23,CASE,Peaches Dried,0,1.0,1.0,07/26/23
77042,5.5,5.45,5.35,5.15,4.55,Figs Black Mission,Potenza,30lb,CASE,Y,,,FRUITS,N,,7,30.0,07/25/23,CASE,Figs Black Mission,7,2.0,2.0,08/01/23
77044,3.45,3.3,3.25,3.15,2.8,Raisins Golden,Potenza,30lb,CASE,Y,,,FRUITS,N,,15,30.0,/  /,CASE,Raisins Golden,15,2.0,2.0,08/08/23
